Rk,Player,Nation,Pos,Goals,Shots,SoT,G/Sh,G/SoT,
1230,Anthony Jung,GER,DFFW,2,0.76,0.29,0.15,0.4,
1231,Lago Junior,CIV,FWMF,0,3.33,1.67,0,0,
1232,Hamed Junior Traorè,CIV,FW,0,0.59,0,0,0,
1233,Hamed Junior Traorè,CIV,MFFW,0,1.21,0.61,0,0,
1234,Vinicius Júnior,BRA,FW,7,2.51,1.23,0.14,0.29,
1235,Josip Juranovi?,CRO,DF,0,0.5,0,0,0,
1236,James Justin,ENG,DF,0,0.36,0,0,0,
1237,Mathias Jørgensen,DEN,DF,0,0.36,0.12,0,0,
1238,Ozan Kabak,TUR,DF,2,1.16,0.35,0.1,0.33,
1239,Issa Kaboré,BFA,DF,1,0.95,0.32,0.17,0.5,
1240,Abdoul Kader Bamba,FRA,FWMF,0,1.11,1.11,0,0,
1241,Pavel Kade?ábek,CZE,DFFW,1,0.45,0.11,0.25,1,
1242,Tino Kadewere,ZIM,MFFW,0,5.33,2,0,0,
1243,Kaiky,BRA,DF,0,0.19,0,0,0,
1244,Florian Kainz,AUT,MFFW,5,2.07,0.83,0.1,0.25,
1245,Gaël Kakuta,COD,FW,0,5,0,0,0,
1246,Sasa Kalajdzic,AUT,FW,0,2,0,0,0,
1247,Sasa Kalajdzic,AUT,FW,0,1.92,0.38,0,0,
1248,Arnaud Kalimuendo,FRA,FW,4,1.94,1.02,0.19,0.36,
1249,Yayah Kallon,SLE,MFFW,1,1.45,0.43,0.1,0.33,
1250,Felix Kalu Nmecha,GER,MF,2,1.98,0.73,0.11,0.29,
1251,Gedeon Kalulu,COD,DF,0,0.32,0,0,0,
1252,Pierre Kalulu,FRA,DF,1,0.54,0.11,0.1,0.5,
1253,Daichi Kamada,JPN,MFFW,7,1.43,0.53,0.26,0.71,
1254,Waren Kamanzi,NOR,DF,0,0,0,0,0,
1255,Bingourou Kamara,SEN,GK,0,0,0,0,0,
1256,Boubacar Kamara,FRA,MF,0,0.3,0.08,0,0,
1257,Jakub Kami?ski,POL,FWMF,1,1.51,0.4,0.05,0.2,
1258,Marcin Kami?ski,POL,DF,0,0,0,0,0,
1259,Kevin Kampl,SVN,MF,0,0.49,0,0,0,
1260,Nordine Kandil,FRA,MFFW,0,2,0,0,0,
1261,Harry Kane,ENG,FW,17,3.55,1.58,0.19,0.42,
1262,Wilfried Kanga,CIV,FW,2,1.77,0.69,0.09,0.22,
1263,Lee Kangin,KOR,MFFW,2,1.42,0.47,0.08,0.25,
1264,N'Golo Kanté,FRA,MF,0,1.05,0.53,0,0,
1265,Kenan Karaman,TUR,FW,0,3.1,0.71,0,0,
1266,Yann Karamoh,FRA,FWMF,1,3.2,1.6,0.13,0.25,
1267,Atakan Karazor,GER,MF,0,0.19,0,0,0,
1268,Jon Karrikaburu,ESP,FW,0,5,1,0,0,
1269,Rick Karsdorp,NED,DF,0,0.16,0,0,0,
1270,Denso Kasius,NED,DF,0,1.05,0,0,0,
1271,Thomas Kastanaras,GRE,FWDF,0,2.5,1.25,0,0,
1272,Grigoris Kastanos,CYP,MFDF,0,2.65,0.88,0,0,
1273,Silas Katompa,COD,FWDF,3,1.8,0.75,0.08,0.2,
1274,Moise Kean,ITA,FW,4,3.7,1.23,0.13,0.4,
1275,Michael Keane,ENG,DF,0,0,0,0,0,
1276,Neeskens Kebano,COD,FW,0,1.14,0.25,0,0,
1277,Kévin Keben Biakolo,CMR,DF,0,0.29,0,0,0,
1278,Thilo Kehrer,GER,DF,0,0.42,0.06,0,0,
1279,Check Keita,FRA,DF,0,0,0,0,0,
1280,Naby Keïta,GUI,MF,0,3.7,0,0,0,
1281,Yannik Keitel,GER,MF,0,0,0,0,0,
1282,Lloyd Kelly,ENG,DF,0,0.2,0,0,0,
1283,Marc-Oliver Kempf,GER,DF,0,0.38,0.11,0,0,
1284,Kenedy,BRA,FWMF,0,1.11,0,0,0,
1285,Jonjoe Kenny,ENG,DF,0,0.34,0.06,0,0,
1286,Franck Kessié,CIV,MF,0,1.71,0.24,0,0,
