name,position,goals,shots
Daley Sinkgraven,DF,0,6
Nadiem Amiri,MF,2,42
Kerem Demirbay,MF,4,44
Patrik Schick,FW,9,56
Charles Aránguiz,MF,0,4
Julian Baumgartlinger,MF,2,7
Karim Bellarabi,FW,0,28
Lucas Alario,FW,11,41
Robert Andrich,MF,5,41
Gregor Kobel,GK,0,0
Florian Wirtz,MF,5,31
Roman Bürki,GK,0,0
Marwin Hitz,GK,0,0
Raphael Guerreiro,DF,5,37
Mahmoud Dahoud,MF,1,16
Marius Wolf,DF,2,41
Thomas Meunier,DF,1,12
Mats Hummels,DF,5,30
Emre Can,DF,1,17
Thorgan Hazard,FW,1,10
Angelino,DF,4,35
Christopher Nkunku,FW,6,55
Erling Haaland,FW,27,92
Péter Gulácsi,GK,0,0
Marcel Halstenberg,DF,2,14
Lukas Klostermann,DF,1,12
Nordi Mukiele,DF,3,21
Tyler Adams,DF,1,7
Kevin Kampl,MF,0,14
Jérôme Boateng,DF,1,8
Javi Martínez,DF,0,2
Wendell,DF,0,7
Mathew Leckie,FW,0,2
Baptiste Santamaria,MF,1,30
Noah Katterbach,DF,0,9
Valentino Lazaro,DF,2,15
Christian Gentner,MF,0,7
Benjamin Stambouli,MF,0,2
Amine Harit,MF,2,22
Justin Kluivert,FW,3,18
Matteo Guendouzi,MF,2,17
Rafael Czichos,DF,1,10
Jorge Meré,DF,0,2
Yuya Osako,MF,0,10
Ismail Jakobs,DF,1,22
Eric Maxim Choupo-Moting,FW,3,20
David Alaba,DF,2,21
Ritsu Doan,MF,5,69
Admir Mehmedi,MF,0,7
Steven Zuber,DF,0,10
Omar Alderete,DF,0,6
Taiwo Awoniyi,FW,5,29
Mike van der Hoorn,DF,0,5
Ellyes Skhiri,MF,5,18
Aymen Barkok,MF,2,19
Philipp Mwene,GK,1,7
Matthew Hoppe,FW,6,20
Jadon Sancho,FW,8,52
Omar Mascarell,MF,1,10
Matheus Cunha,FW,7,70
Sead Kolasinac,DF,1,6
Ryan Sessegnon,DF,2,5
Milot Rashica,FW,3,43
Joshua Sargent,FW,5,43
Leon Bailey,FW,9,58
Joel Pohjanpalo,MF,6,31
Emil Forsberg,FW,7,35
Krzysztof Piatek,FW,7,41
Ramy Bensebaini,DF,4,22
Josip Brekalo,FW,7,47
Ludwig Augustinsson,DF,0,16
Robin Quaison,FW,6,35
Deyovaisio Zeefuik,DF,1,3
Joakim Nilsson,DF,0,5
Matija Nastasic,DF,0,7
Manuel Neuer,GK,0,0
Alphonso Davies,DF,1,4
Ádám Szalai,FW,1,14
Kevin Trapp,GK,0,0
Filip Kostic,DF,4,52
Luka Jovic,FW,4,25
Milos Veljkovic,DF,0,3
Matthias Ginter,DF,2,23
Alexander Sørloth,FW,5,48
Julian Ryerson,DF,0,6
Peter Pekarík,DF,3,7
Ondrej Duda,FW,7,49
Leandro Barreiro Martins,MF,2,33
Thomas Delaney,MF,1,9
Marco Reus,MF,8,56
Joshua Kimmich,MF,4,37
Leon Goretzka,MF,5,42
Thomas Müller,MF,11,50
Leroy Sané,FW,6,57
Jonathan Tah,DF,1,9
Julian Brandt,FW,3,22
Maximilian Arnold,MF,3,55
Wout Weghorst,FW,20,93
Jonas Hofmann,FW,6,25
Florian Neuhaus,MF,6,48
Christian Günter,DF,3,26
Manuel Akanji,DF,2,19
Kevin Mbabu,DF,0,11
Diadie Samassékou,MF,0,16
Amadou Haidara,MF,3,42
Dani Olmo,MF,5,77
Yann Sommer,GK,0,0
Renato Steffen,FW,5,30
Denis Zakaria,MF,1,11
Sargis Adamyan,FW,2,23
Nicolás González,FW,6,50
Edmond Tapsoba,DF,1,16
Jude Bellingham,MF,1,33
Sami Khedira,MF,9,31
Mario Mandzukic,FW,5,50
Fabrizio Cacciatore,DF,2,21
Andrea Costa,DF,0,9
Sergio Pellissier,FW,1,9
Oscar Hiljemark,MF,0,13
Sergio Floccari,FW,3,21
Thomas Heurtaux,DF,0,1
Maxi López,FW,2,28
Luca Rossettini,DF,0,11
Daniele De Rossi,MF,1,11
Mateo Musacchio,DF,0,3
Senad Lulic,DF,3,18
Marco Parolo,MF,4,53
Dario Dainelli,DF,0,3
Massimo Gobbi,DF,0,6
Alessandro Gamberini,DF,0,4
Paolo Cannavaro,DF,0,5
Davide Astori,DF,1,9
Vasilis Torosidis,DF,0,2
Ignazio Abate,DF,1,4
Ivan Strinic,DF,0,0
Riccardo Montolivo,MF,1,12
Alessandro Matri,FW,3,32
Marco Andreolli,DF,0,3
Nicolás Spolli,DF,0,6
Nicolas Burdisso,DF,0,10
Andrea Barzagli,DF,0,1
Stephan Lichtsteiner,DF,0,4
Emiliano Moretti,DF,0,4
Simone Padoin,FW,1,16
Felipe,DF,1,15
Giampaolo Pazzini,FW,4,17
Albano Bizzarri,GK,0,0
Marco Borriello,FW,1,12
Kwadwo Asamoah,DF,0,7
Borja Valero,MF,2,18
Diego Perotti,FW,5,38
Claudio Marchisio,MF,0,12
Iago Falque,FW,12,76
Valter Birsa,MF,3,49
Cristiano Lombardi,DF,0,14
Alessio Cerci,FW,3,42
Bruno Zuculini,MF,2,7
Samuel Souprayen,DF,0,5
Vincent Laurini,DF,0,1
Fabio Pisacane,DF,0,4
Stefano Sorrentino,GK,0,0
Emil Hallfredsson,MF,0,2
Marcello Trotta,FW,7,65
Simone Calvano,MF,0,5
Luca Cigarini,MF,2,22
Lorenzo Venuti,DF,0,5
Andrea Nalini,FW,0,21
Nicola Rigoni,MF,0,12
Simone Missiroli,MF,1,24
Alberto Paloschi,FW,7,26
Matías Silvestre,DF,1,17
Daniele Dessena,MF,0,2
Ledian Memushaj,MF,0,18
Mirco Antenucci,FW,11,67
Jagos Vukovic,DF,1,3
Bastos,DF,4,9
Marco Fossati,MF,0,9
Stipe Perica,FW,1,21
Diego Laxalt,DF,3,31
Giancarlo Gonzalez,DF,0,2
Dawid Kownacki,FW,5,21
Bartosz Salamon,DF,0,11
Andrija Balic,MF,0,16
Adrian Stoian,MF,2,19
Nícolas,DF,0,0
Marcus Rohden,MF,2,21
Antonio Caracciolo,DF,2,16
Pietro Iemmello,FW,2,20
Marcel Büchel,MF,0,9
Radja Nainggolan,MF,4,61
Patrik Schick,FW,2,28
Bruno Petkovic,FW,0,15
Riccardo Meggiorini,FW,0,11
Sebastien De Maio,DF,2,5
Luca Rigoni,MF,2,20
Adel Taarabt,FW,2,33
Blerim Dzemaili,MF,1,13
Manuel Pucciarelli,FW,2,26
Miranda,DF,0,9
Mauro Icardi,FW,29,98
Arkadiusz Milik,FW,5,23
Cengiz Ünder,FW,7,46
Douglas Costa,FW,4,36
Blaise Matuidi,MF,3,24
Gonzalo Higuaín,FW,16,102
Éder,FW,3,27
Gerson,MF,2,9
Seko Fofana,MF,3,40
Miralem Pjanic,MF,5,52
Andrea Bertolacci,MF,1,16
Adem Ljajic,MF,6,62
Lucas Castro,MF,3,39
Davide Biraschi,DF,0,4
Ervin Zukanovic,DF,0,22
Emiliano Viviano,GK,0,0
Rafinha,MF,2,15
Kostas Manolas,DF,2,11
Yann Karamoh,FW,1,19
Lucas Biglia,MF,1,21
Fabio Borini,FW,2,37
Afriyie Acquah,MF,1,9
Valentin Eysseric,FW,1,15
Edgar Barreto,MF,1,20
Godfred Donsah,MF,2,24
Andrea Poli,MF,2,12
Nenad Tomovic,DF,0,15
Alisson,GK,0,0
Raúl Albiol,DF,3,17
João Cancelo,DF,1,12
Suso,FW,6,94
Maxime Gonalons,MF,0,12
Filip Helander,DF,0,3
Timothy Castagne,DF,0,9
Adam Masina,DF,0,16
Jakub Jankto,MF,4,58
Alex Berenguer,FW,1,14
Ante Budimir,FW,6,30
Mattia Caldara,DF,3,11
Duván Zapata,FW,11,53
Berat Gjimshiti,DF,0,9
Robin Gosens,DF,1,12
Hans Hateboer,DF,0,24
José Luis Palomino,DF,1,10
Rafael Toloi,DF,1,19
Giuseppe Pezzella,DF,0,7
Samir,DF,2,7
Marco Sportiello,GK,0,0
Cristian Molinaro,DF,0,2
Nani,MF,3,14
Matteo Politano,FW,10,100
Mário Rui,DF,2,7
Allan,MF,4,37
Piotr Zielinski,MF,4,38
José Callejón,FW,10,64
Dries Mertens,FW,18,128
Juan Jesus,DF,0,2
Lucas Torreira,MF,4,33
Giacomo Bonaventura,MF,8,62
Erick Pulgar,MF,3,34
Cristiano Biraghi,DF,1,35
Marco Benassi,MF,5,70
Riccardo Saponara,MF,0,21
Alfred Duncan,MF,0,40
Andrea Petagna,FW,4,43
Antonio Mirante,GK,0,1
Alessandro Florenzi,DF,1,39
Davide Calabria,DF,1,8
Alessio Romagnoli,DF,2,9
Franck Kessié,MF,5,75
Milan Badelj,MF,2,33
Felipe Caicedo,FW,3,17
Andrea Masiello,DF,4,22
Salvatore Sirigu,GK,0,0
Mattia Bani,DF,0,3
Ivan Radovanovic,MF,1,33
Goran Pandev,FW,5,43
Valon Behrami,MF,1,9
Mattia Perin,GK,0,0
Wojciech Szczesny,GK,0,0
Jordan Lukaku,DF,1,6
Stefan Radu,DF,0,8
Lucas Leiva,MF,2,27
Luis Alberto,MF,11,80
Ciro Immobile,FW,29,110
Felipe Anderson,MF,4,26
Mattia Destro,FW,6,41
Bram Nuytinck,DF,1,12
Manuel Lazzari,DF,2,22
Antonio Candreva,FW,0,72
Giorgio Chiellini,DF,0,10
Daniele Rugani,DF,2,9
Rodrigo Bentancur,MF,0,5
Juan Cuadrado,FW,4,27
Moise Kean,FW,4,34
Tomás Rincón,MF,1,17
Bartosz Bereszynski,DF,0,5
Alex Ferrari,DF,1,8
Nicola Murru,DF,0,5
Fabio Quagliarella,FW,19,111
Andrea Consigli,GK,0,0
Federico Peluso,DF,1,11
Valerio Verre,MF,0,6
Kevin Strootman,MF,1,22
Marko Rog,FW,1,5
Gregoire Defrel,FW,1,14
Francesco Magnanelli,MF,0,12
Luca Ceppitelli,DF,3,12
Filippo Romagna,DF,0,4
João Pedro,MF,5,39
Leonardo Pavoletti,FW,11,86
Alberto Grassi,MF,3,38
Stefan de Vrij,DF,6,14
Marcelo Brozovic,MF,4,45
Roberto Gagliardini,MF,0,22
Ivan Perisic,FW,11,116
Matías Vecino,MF,3,40
Aleksandar Kolarov,DF,2,63
Edin Dzeko,FW,16,152
Hakan Calhanoglu,FW,6,86
Patrick Cutrone,FW,10,45
Stefano Sensi,MF,2,21
Federico Di Francesco,FW,1,36
Alex Cordaz,GK,0,0
Federico Fazio,DF,2,18
Davide Santon,DF,0,7
Lorenzo Pellegrini,MF,3,39
Stephan El Shaarawy,FW,7,73
Leonardo Spinazzola,DF,0,9
Federico Ceccherini,DF,1,16
Jordan Veretout,MF,8,61
Paolo Faragò,DF,2,29
Massimo Coda,FW,4,59
Fabio Depaoli,MF,0,4
Miguel Veloso,MF,1,28
Nikola Kalinic,FW,6,49
Giovanni Simeone,FW,14,106
Gianluca Caprari,FW,5,68
Artur Ionita,MF,0,26
Gaetano Letizia,DF,1,22
Mariusz Stepinski,FW,5,18
Antonin Barak,MF,7,38
Kevin Lasagna,FW,12,72
Daniele Verde,FW,2,37
Antonino Ragusa,FW,0,21
Marco Sau,FW,2,25
Enrico Brignola,FW,3,33
Gianluca Lapadula,FW,6,53
Luca Mora,MF,0,5
Francesco Vicari,DF,0,8
Diego Farias,FW,1,44
Federico Viviani,MF,3,52
Gianluigi Buffon,GK,0,0
Gastón Ramírez,MF,3,49
Danilo,DF,1,15
Cristian Ansaldi,DF,1,18
Armando Izzo,DF,1,3
Daniele Baselli,MF,4,35
Luca Mazzitelli,MF,0,14
Filippo Costa,DF,0,7
Pasquale Schiattarella,MF,1,19
Mattia Valoti,MF,3,21
Mario Sampirisi,DF,0,3
Andrea Barberis,MF,2,25
Roberto Inglese,FW,12,76
Simone Verdi,FW,10,93
Dennis Praet,MF,1,33
Karol Linetty,MF,3,26
Rodrigo Palacio,FW,4,32
Rolando Mandragora,MF,2,34
Mohamed Fares,DF,0,32
Lorenzo De Silvestri,DF,5,23
Marco Capuano,DF,0,3
Bruno Martella,DF,1,24
Vittorio Parigini,FW,0,22
Claud Adjapong,DF,0,14
Federico Ricci,FW,1,27
Perparim Hetemaj,MF,3,33
Andrej Galabinov,FW,3,33
Alessandro Murgia,MF,0,11
Aleandro Rosi,DF,0,12
Kalidou Koulibaly,DF,5,17
Sergej Milinkovic-Savic,MF,12,91
Nikola Milenkovic,DF,0,9
Darko Lazovic,MF,0,9
Ibrahima Mbaye,DF,1,7
Arlind Ajeti,DF,0,8
Milan Skriniar,DF,4,21
Elseid Hysaj,DF,0,11
Andreas Cornelius,FW,3,32
Ricardo Rodríguez,DF,1,30
Thomas Strakosha,GK,0,0
Adam Marusic,DF,3,39
Jens Stryger Larsen,DF,1,19
Remo Freuler,MF,5,41
Marek Hamsik,MF,7,86
Etrit Berisha,GK,0,0
Marten de Roon,MF,3,27
Josip Ilicic,FW,11,90
Jasmin Kurtic,MF,3,29
Silvan Widmer,DF,3,11
Lorenzo Insigne,FW,8,177
Bryan Cristante,MF,9,78
Leonardo Bonucci,DF,2,23
Federico Bernardeschi,FW,4,27
Gianluigi Donnarumma,GK,0,0
Francesco Acerbi,DF,0,15
Jorginho,MF,2,17
Federico Chiesa,FW,6,110
Andrea Belotti,FW,10,84
Manuel Locatelli,MF,0,11
Domenico Berardi,FW,4,86
Alessio Cragno,GK,0,0
Nicolò Barella,MF,6,33
Amadou Diawara,MF,1,6
Samuel Bastien,MF,1,15
Germán Pezzella,DF,1,24
Rodrigo de Paul,MF,4,53
Loris Benito,DF,0,8
Clément Grenier,MF,4,27
Jonathan Delaplace,DF,0,6
Hilton,DF,0,12
Wesley Lautoa,MF,0,10
Mehdi Abeid,MF,0,20
Nolan Roux,FW,0,10
Farid El Melali,FW,0,12
Mehdi Chahiri,FW,2,21
Thierry Ambrose,FW,0,19
Mathieu Cafaro,MF,4,61
Myziane Maolida,FW,3,19
Haris Duljevic,MF,0,15
Yusuf Yazici,FW,7,44
Mitchel Bakker,DF,0,3
Renaud Emond,FW,2,8
Keagan Dolly,MF,0,5
Petar Skuletic,FW,2,10
Mohamed Simakan,DF,1,15
Dereck Kutesa,MF,1,10
Anthony Racioppi,GK,0,0
Simon Banza,FW,5,35
Loïck Landre,DF,1,9
Fouad Chafik,DF,1,5
Lamine Koné,DF,1,8
Kévin Zohi,FW,2,15
Dan Ndoye,FW,1,12
Andy Pelmard,DF,0,2
Jean Eudes Aholou,MF,2,33
Jean-Ricner Bellegarde,MF,1,24
Mathieu Debuchy,DF,2,26
Eiji Kawashima,GK,0,1
Anthony Caci,DF,0,8
Dmitri Lienard,MF,2,30
Ibrahima Sissoko,MF,0,25
Adrien Thomasson,MF,5,51
Ludovic Ajorque,FW,16,69
Anthony Lopes,GK,0,0
Jason Denayer,DF,1,5
Léo Dubois,DF,2,20
Marcelo,DF,3,23
Houssem Aouar,MF,7,70
Maxence Caqueret,MF,0,9
Damien Da Silva,DF,4,23
Thiago Mendes,MF,0,23
Sinaly Diomande,DF,0,16
Moussa Dembele,FW,1,29
Zinedine Ferhat,FW,6,61
Adrián Cubas,MF,1,11
Bruno Guimarães,MF,3,27
Niclas Eliasson,MF,4,25
Lamine Fomba,MF,1,24
Kelyan Guessoum,DF,0,6
Anthony Briancon,DF,0,5
Gaetan Paquiez,DF,0,5
Patrick Burner,DF,0,6
Yassin Benrahou,MF,0,18
Antonin Bobichon,MF,0,22
Renaud Ripart,MF,11,68
Xavier Chavalerin,MF,0,22
Jessy Moulin,GK,0,0
Moussa Koné,FW,9,31
Abdoul Kader Bamba,FW,3,15
Sébastien Corchia,DF,0,21
Dennis Appiah,DF,0,6
Pierre-Yves Hamel,FW,4,23
Tony Mauricio,MF,0,14
Nicolas Pallois,DF,2,13
Fabio,DF,0,8
Andrei Girotto,DF,1,28
Ludovic Blas,MF,10,71
Marcus Coco,MF,0,13
Alban Lafont,GK,0,0
Pedro Chirivella,MF,0,9
Romain Philippoteaux,FW,2,12
Randal Kolo Muani,FW,9,58
Lucas Deaux,MF,1,12
Daniel Congré,DF,2,13
Jordan Marié,MF,0,10
Frederic Sammaritano,FW,0,10
Baptiste Reynet,GK,0,2
Jonathan Panzo,DF,0,5
Matteo Ahlinvi,MF,2,12
Tiago Djaló,DF,0,2
Burak Yilmaz,FW,16,66
Benjamin André,MF,0,20
Hatem Ben Arfa,MF,2,33
Domagoj Bradaric,DF,1,4
Reinildo,DF,0,4
Xeka,MF,1,18
Jonathan Bamba,MF,6,60
Sven Botman,DF,0,16
Isaac Lihadji,MF,0,4
Martin Terrier,FW,9,47
Timothy Weah,FW,3,24
Jéremy Doku,MF,2,36
Romain Salin,GK,0,0
Benjamin Bourigeaud,MF,6,64
Gaëtan Charbonnier,MF,6,36
Flavien Tait,MF,1,26
Sehrou Guirassy,FW,10,52
Adrien Truffert,DF,1,24
Loic Bade,DF,0,11
Jérémy Morel,DF,0,6
Paul Nardi,GK,0,0
Vincent Le Goff,DF,0,8
Houboulang Mendes,DF,0,5
Enzo Le Fée,MF,0,31
Fabien Lemoine,MF,1,16
Julien Laporte,DF,0,8
Laurent Abergel,MF,3,29
Jerome Hergault,DF,2,4
Matthieu Dreyer,GK,0,0
Thomas Monconduit,MF,2,21
Gaetan Laborde,FW,16,101
Quentin Boisgard,MF,2,24
Armand Lauriente,FW,3,58
Facundo Medina,DF,2,9
Thomas Delaine,DF,3,18
Matthieu Udol,DF,0,13
Jean-Louis Leca,GK,0,0
Fabien Centonze,DF,1,24
Florian Sotoca,FW,8,71
Jonathan Gradit,DF,0,2
Yannick Cahuzac,MF,1,8
Corentin Jean,FW,1,21
Jonathan Clauss,DF,3,34
Seko Fofana,MF,2,40
Arnaud Kalimuendo Muinga,FW,7,34
Nicolas de Preville,FW,1,38
Ibrahim Amadou,MF,0,14
Guillermo Maripán,DF,5,15
Opa Nguette,FW,3,18
Warren Tchimbembé,MF,0,6
Lamine Gueye,FW,3,40
Papa Ndiaga Yade,FW,3,28
Djibril Sidibe,DF,0,5
Sofiane Diop,MF,7,44
Cesc Fàbregas,MF,2,10
Aleksandr Golovin,MF,5,27
Gelson Martins,MF,3,26
Aurelien Tchouameni,MF,2,54
Wissam Ben Yedder,FW,20,81
Ruben Aguilar,DF,1,8
Axel Disasi,DF,3,18
Youssouf Fofana,MF,0,36
Zaydou Youssef,MF,1,15
Miguel Trauco,DF,0,6
Paul Bernardoni,GK,0,0
Timothée Kolodziejczak,DF,0,10
Arnaud Nordin,MF,4,45
Mahdi Camara,MF,3,23
Adil Aouchiche,MF,2,26
Aïmen Moueffek,DF,0,1
Leonardo Balerdi,DF,2,13
Álvaro González,DF,2,16
Steve Mandanda,GK,0,0
Duje Caleta-Car,DF,2,10
Boubacar Kamara,MF,0,19
Dimitri Payet,FW,7,45
Sada Thioub,FW,1,23
Valentin Rongier,MF,1,17
William Saliba,DF,1,6
Romain Hamouma,FW,6,33
Pol Lirola,DF,2,10
Maxence Rivera,MF,0,2
Arkadiusz Milik,FW,9,46
Souleyman Doumbia,DF,0,7
Abdoulaye Bamba,DF,0,1
Ismael Traoré,DF,3,12
Jimmy Cabot,FW,1,10
Vincent Manceau,DF,0,6
Romain Thomas,DF,4,14
Pierrick Capelle,MF,3,29
Angelo Fulgini,MF,7,63
Thomas Mangani,MF,3,24
Valère Germain,FW,3,10
Arnaud Souquet,DF,1,6
Jordan Ferri,MF,0,4
Téji Savanier,MF,5,56
Nicolas Cozza,DF,0,1
Pedro Mendes,DF,2,7
Florent Mollet,MF,3,51
Lois Diony,FW,5,29
Joris Chotard,MF,0,9
Mohamed Ali-Cho,FW,0,10
Stephy Mavididi,FW,9,30
Benoit Costil,GK,0,0
Valon Berisha,MF,0,21
Yunis Abdelhamid,DF,3,15
Marshall Munetsi,MF,1,12
Wout Faes,DF,1,11
Thomas Foket,DF,0,6
Arbër Zeneli,MF,3,21
Andrew Gravillon,DF,1,14
Nathanael Mbuku,MF,4,39
Sepe Elye Wahi,FW,3,12
Otávio,MF,1,6
Yacine Adli,MF,2,24
Jimmy Briand,FW,1,13
Samuel Kalu,FW,4,25
Josh Maja,FW,2,19
Laurent Koscielny,DF,0,6
Enock Kwateng,DF,1,4
Paul Baysse,DF,2,11
Remi Oudin,FW,4,54
Amadou Traoré,MF,0,3
Mehdi Zerkane,MF,1,15
Ronael Pierre Gabriel,DF,1,8
Steve Mounie,FW,9,80
Irvin Cardona,FW,7,54
Gautier Larsonneur,GK,0,0
Brendan Chardonnet,DF,3,21
Julien Faussurier,DF,0,5
Jean-Kevin Duverne,DF,1,10
Franck Honorat,MF,8,41
Paul Lasne,MF,0,5
Christophe Herelle,DF,0,6
Romain Faivre,MF,6,66
Jeremy Le Douaron,FW,1,13
Jean-Clair Todibo,DF,1,7
Kasper Dolberg,FW,6,37
Jordan Lotomba,DF,1,8
Hichem Boudaoui,MF,3,16
Morgan Schneiderlin,MF,0,9
Alexis Claude Maurice,MF,4,35
Andy Delort,FW,15,91
Walter Benítez,GK,0,0
Amine Gouiri,FW,12,80
Flavius Daniliuc,DF,1,9
Mauro Icardi,FW,7,40
Marquinhos,DF,3,15
Colin Dagba,DF,1,7
Presnel Kimpembe,DF,0,4
Layvin Kurzawa,DF,1,11
Julian Draxler,MF,4,11
Marco Verratti,MF,0,10
Danilo Pereira,MF,2,17
Keylor Navas,GK,0,0
Ander Herrera,MF,1,21
Neymar,MF,9,70
Yuto Nagatomo,DF,0,4
Hiroki Sakai,DF,0,3
Adrien Hunou,FW,4,21
Luiz Araujo,MF,4,48
Ismael Boura,DF,0,2
Florian Thauvin,FW,8,71
Sacha Boey,DF,0,11
John Boye,DF,1,13
Jean-Charles Castelletto,DF,1,8
Cristian Battocchio,MF,0,4
Mounir Chouiar,FW,0,24
Harold Moukoudi,DF,3,13
Lionel Carole,DF,0,3
Karl Toko Ekambi,FW,14,90
Moses Simon,FW,6,39
Stéphane Bahoken,FW,6,59
Adrian Grbic,FW,4,34
Steven Fortes,DF,0,5
Vágner,FW,4,20
Sofiane Alakouch,DF,0,5
Alexander Djiku,DF,0,16
Naif Aguerd,DF,3,27
Ghislain Konan,DF,2,8
Moreto Cassamã,MF,1,11
Kévin Monnet-Paquet,MF,0,6
Ignatius Ganago,FW,7,40
Yvan Neyou,MF,1,30
Rafinha,MF,0,24
Youssouf Sabaly,DF,1,13
Eduardo Camavinga,MF,1,26
Darío Benedetto,FW,5,39
Dylan Bronn,DF,2,16
Saif-Eddine Khaoui,FW,2,11
Trevoh Chalobah,DF,2,14
Clement Michelin,DF,0,12
Florian Miguel,DF,0,8
Benjamin Lecomte,GK,0,0
Damien Le Tallec,MF,0,13
Wahbi Khazri,FW,7,32
Kenny Lala,DF,3,11
Kaj Sierhuis,FW,0,14
Maxwel Cornet,DF,2,21
Romain Perraud,DF,3,43
Yoane Wissa,FW,10,59
Imran Louza,MF,7,36
Hassane Kamara,DF,2,27
Pierre Lees-Melou,MF,4,43
Boubakary Soumare,MF,0,8
Michaël Cuisance,MF,2,9
Pietro Pellegri,FW,1,9
Alessandro Florenzi,DF,2,21
Mattia De Sciglio,DF,0,3
Moise Kean,FW,13,52
Youcef Atal,DF,1,8
Bersant Celina,MF,0,24
Alexandre Oukidja,GK,0,0
Abdoulaye Touré,MF,2,27
Mike Maignan,GK,0,0
Abdou Diallo,DF,0,4
Islam Slimani,FW,3,18
Predrag Rajkovic,GK,0,0
Stefan Mitrovic,DF,2,11
Idrissa Gueye,MF,2,19
Farid Boulaya,MF,6,79
Habib Diallo,FW,9,56
Haris Belkebla,MF,0,6
Boulaye Dia,FW,14,63
Aaron Leya Iseka,FW,4,20
Stevan Jovetic,FW,6,45
Ángel Di María,FW,5,60
Leandro Paredes,MF,1,23
Memphis Depay,FW,21,110
Kevin Volland,FW,16,56
Birger Meling,DF,2,13
Pablo Sarabia,FW,6,37
Jonas Omlin,GK,0,0
Tinotenda Kadewere,FW,10,61
Bruno Ecuele Manga,DF,2,31
Denis Bouanga,MF,7,102
Mihailo Ristic,DF,0,20
Lassana Coulibaly,MF,1,14
Hamari Traore,DF,1,23
Massadio Haidara,DF,2,12
Moussa Doumbia,MF,0,14
Mamadou Fofana,MF,0,3
Kalifa Coulibaly,FW,3,19
Charles Traore,DF,1,4
Senou Coulibaly,DF,2,5
Issiaga Sylla,DF,1,10
Gaël Kakuta,MF,11,52
El Bilal Touré,FW,4,19
Saidou Sow,DF,0,2
Tana,MF,1,14
Markel Bergara,MF,4,16
Beñat,MF,0,13
Iturraspe,MF,0,6
Markel Susaeta,FW,3,27
Aduriz,FW,9,62
Manuel Iturra,MF,0,2
Fernando Navarro,DF,0,0
Sergio Mora,MF,0,6
Juanfran,DF,0,24
Daniele Bonera,DF,0,2
Fernando Torres,FW,5,30
Mehdi Lacen,MF,0,7
David Zurutuza,MF,0,14
Iván Ramis,DF,3,14
Alberto Aquilani,MF,0,12
Xabi Prieto,MF,3,16
Adrián,DF,3,35
Ezequiel Garay,DF,0,6
Antonio Rukavina,DF,0,2
Marc Navarro,DF,1,20
Matías Aguirregaray,DF,0,9
Ibai Gómez,MF,7,54
Burgui,FW,1,15
Ezequiel Muñoz,DF,0,5
Dimitrios Siovas,DF,1,18
Nabil El Zhar,FW,2,45
Sergio Álvarez,GK,0,0
Pedro López,GK,0,3
Fede Cartabia,FW,2,32
Esteban Granero,MF,1,13
Víctor Sánchez,DF,0,13
Raúl Albentosa,DF,1,11
Hernán Toledo,FW,0,3
Claudio Beauvue,FW,2,40
Sergio García,FW,2,39
Dani Castellano,DF,0,4
Diego González,DF,1,12
Fabián Orellana,MF,3,28
Diego Godín,DF,0,13
Lucas Hernández,DF,0,7
Filipe Luis,DF,1,5
Andreas Pereira,MF,1,14
Pablo Hernández,MF,3,17
Emmanuel Boateng,FW,6,42
Luis Hernández,DF,0,5
Zakaria Bakkali,FW,0,25
Celso Borges,MF,3,32
Vicente Guaita,GK,0,0
Aarón Martín,DF,0,5
Mauricio Lemos,DF,0,16
Jordi Amat,DF,0,7
Antonio Adán,GK,0,0
Kevin Gameiro,FW,7,20
Zouhair Feddal,DF,3,6
Vitorino Antunes,DF,0,30
Lionel Messi,FW,34,196
Keylor Navas,GK,0,0
Sergio Ramos,DF,4,28
Pau López,GK,0,0
Álvaro González,DF,0,15
Wissam Ben Yedder,FW,9,50
Guillermo Maripán,DF,0,4
Paulinho,MF,9,45
Sergio Rico,GK,0,0
Paul Baysse,DF,1,11
Jonathan Calleri,FW,9,99
Ryad Boudebouz,MF,2,19
Takashi Inui,MF,5,64
Miguel Layún,DF,2,22
Andrés Iniesta,MF,1,16
Guido Pizarro,MF,1,13
Diego Rolan,FW,5,35
Cabral,DF,1,10
Éver Banega,MF,3,37
Emre Colak,MF,1,17
Emre Mor,FW,1,12
Álvaro Medrán,MF,2,18
Facundo Roncaglia,DF,0,4
Roberto Rosales,DF,1,18
Faycal Fajr,MF,1,22
Naranjo,FW,1,9
Iñigo Córdoba,FW,1,18
David López,DF,1,14
Manu García,MF,3,26
Sergi Enrich,FW,3,32
Oier,GK,0,0
Gabriel,MF,0,15
Denis Cheryshev,MF,2,29
Loren Morón,FW,7,29
Sergi Gómez,DF,1,14
Aleix Vidal,MF,1,8
Sergi Darder,MF,1,29
Óscar Melendo,MF,1,8
Antonio Luna,DF,0,5
Jaume Costa,DF,0,12
Maxi Gómez,FW,17,83
Pablo Maffeo,MF,0,25
Ángel,FW,13,68
Anaitz Arbilla,DF,2,18
Unai Bustinza,DF,2,15
Gaku Shibasaki,MF,1,10
Adnan Januzaj,FW,3,58
Diego Rico,DF,2,25
Bruno,DF,0,4
Aritz Elustondo,DF,3,11
Zaldúa,DF,1,11
Asier Illarramendi,MF,7,35
Igor Zubeldia,MF,1,20
Eraso,MF,4,32
Recio,MF,1,26
